Date,Orders,"Gross sales",Returns,Coupons,"Net sales",Taxes,Shipping,"Total sales"
"2024-01-14 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-13 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-12 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-11 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-10 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-09 00:00:00",1,60.00,0.00,0.00,60.00,0.00,6.95,66.95
"2024-01-08 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-07 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-06 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-05 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-01 00:00:00",1,212.00,0.00,0.00,212.00,0.00,6.95,218.95
"2023-12-31 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-30 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-29 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-28 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-27 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-26 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-25 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-24 00:00:00",1,37.50,0.00,0.00,37.50,0.00,6.95,44.45
"2023-12-23 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-22 00:00:00",1,29.00,0.00,0.00,29.00,0.00,6.95,35.95
"2023-12-21 00:00:00",1,29.00,0.00,5.80,23.20,0.00,6.95,30.15
"2023-12-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-18 00:00:00",1,29.00,0.00,5.80,23.20,0.00,6.95,30.15
"2023-12-17 00:00:00",1,36.00,0.00,7.20,28.80,0.00,6.95,35.75
"2023-12-16 00:00:00",3,354.50,0.00,51.80,302.70,0.00,20.85,323.55
"2023-12-15 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-14 00:00:00",1,51.50,0.00,10.30,41.20,0.00,6.95,48.15
"2023-12-13 00:00:00",2,189.50,0.00,6.80,182.70,0.00,13.90,196.60
"2023-12-12 00:00:00",3,159.00,0.00,31.80,127.20,0.00,20.85,148.05
"2023-12-11 00:00:00",1,199.00,0.00,39.80,159.20,0.00,6.95,166.15
"2023-12-10 00:00:00",1,58.00,0.00,0.00,58.00,0.00,6.95,64.95
"2023-12-09 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-08 00:00:00",1,95.00,0.00,0.00,95.00,0.00,6.95,101.95
"2023-12-07 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-06 00:00:00",1,28.00,0.00,0.00,28.00,0.00,6.95,34.95
"2023-12-05 00:00:00",1,56.50,0.00,11.30,45.20,0.00,6.95,52.15
"2023-12-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-12-01 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-30 00:00:00",2,404.00,0.00,80.80,323.20,0.00,13.90,337.10
"2023-11-29 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-28 00:00:00",1,86.50,0.00,17.30,69.20,0.00,6.95,76.15
"2023-11-27 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-26 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-25 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-24 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-23 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-22 00:00:00",3,256.50,0.00,33.90,222.60,0.00,20.85,243.45
"2023-11-21 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-18 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-17 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-16 00:00:00",1,15.50,0.00,3.10,12.40,0.00,6.95,19.35
"2023-11-15 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-14 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-13 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-12 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-11 00:00:00",1,46.00,0.00,9.20,36.80,0.00,6.95,43.75
"2023-11-10 00:00:00",2,104.50,0.00,13.30,91.20,0.00,13.90,105.10
"2023-11-09 00:00:00",1,72.00,0.00,14.40,57.60,0.00,6.95,64.55
"2023-11-08 00:00:00",2,92.00,0.00,3.40,88.60,0.00,13.90,102.50
"2023-11-07 00:00:00",3,185.50,0.00,37.10,148.40,0.00,20.85,169.25
"2023-11-06 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-05 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-11-01 00:00:00",1,44.00,0.00,44.00,0.00,0.00,6.95,6.95
